,review_text,label,prediction
0,butiran scrub sangat halus teksturnya juga sangat lembut dan licin jadi butuh tenaga untuk mengangkat tanjakan karena licin sekali lebih baik gunakan saat kulit kering juru tulis itu tidak mengganggu sama sekali teksturnya yang creamy membuat kulit terasa lembab dan lembut bau zaitun yang enak juga lembut dan alami,0,0
1,tempat produk sangat populer overhype saya rasa tidak jika saya paskan saja mungkin sebagian orang pernah merasakan purging kulit menjadi kering terasa kencang tapi aku baik baik saja tidak terasa kikuk mungkin karena sebelumnya pernah menggunakan toner bha dan aha dan tidak ada keluhan kulit menjadi kering karena setelah menggunakan toner ini tentunya setelahnya menggunakan toner pelembab dan pelembab ngomong ngomong biasanya akhir pekan saya pakai hari jumat sabtu minggu dan hanya malam hari ,0,-1
2,lulur bali ini murah banget sayang isinya kecil baunya sebenarnya enak tapi sangat kuat sehingga anda bisa mencium baunya di mana mana teksturnya kasar dan m u mengangkat kotoran yang menempel di badan apalagi naik ke badan setelah menggunakan scrub ini saya merasa kulit tubuh saya semakin bersih ,0,0
3,saya membeli ini karena saya sedang mencari produk yang mirip dengan skii dan inilah jawabannya teksturnya benar benar cair sehingga harus menggunakan kapas untuk mengaplikasikannya lalu after effect membuat wajah lebih cerah dan minyak lebih terkontrol wajah pun terasa lebih sehat,1,1
4,ini semua dalam satu pembersih pada awalnya saya pikir itu memiliki merek di sebelahnya jadi cobalah juga angkat make up jadi ok tidak yakin bersih kalau tidak dipakai dua atau tiga kali hal baiknya adalah tidak lengket seperti menggunakan pembersih susu ,1,1
5,inti dari astalift adalah salah satu penjual terbaik astalift penggunaannya cukup sedikit sudah bisa dilakukan sesuka hati dengan pemakaian yang teratur kulit terasa lebih kenyal dan sehat serta t ak lebih bercahaya hebatnya essence ini cocok untuk semua jenis kulit dry normal oily semua bisa pakai essence ini ,1,1
6, minggu pertama menggunakan produk ini kulit wajah saya lebih bersinar bercahaya dan pori pori mengecil tapiii saat memasuki minggu ke tiba tiba muncul jerawat di sepanjang dagu dan leher saya bertahan selama minggu tetapi tidak berhasil akhirnya menyerah dan berhenti sama sekali ,-1,-1
7,jelly ini memiliki tekstur yang lucu setiap kami mengambil produk dari wadah tekstur akan kembali normal dalam satu menit produk ini melembabkan kulit saya meski setelah diaplikasikan kulit terasa agak lengket tapi itu tidak berlangsung lama saya hanya menggunakan ini pada malam hari karena ada efek oranye di wajah saya setiap kali saya menggunakan produk ini akan terus membeli kembali produk ini s ai anda menemukan booster yang lebih baik ,1,1
8,saya baru menggunakan produk ini hanya s el sachet hanya digunakan kali saya sangat suka aromanya wangi mawarnya sangat lembut bentuknya adalah lotion putih mutiara di depannya cepat meresap karena hanya x jadi saya belum bisa melihat efeknya di wajah saya saya tidak tahu apakah akan mengupgrade ke ukuran penuh karena harganya sangat luar biasa,0,0
9,nivea lotion sama seperti lotion kebanyakan saya mulai memakainya karena anjuran kakak saya lotion ini bikin kulitnya lebih bersih wanginya juga lembut tapi sayangnya lotion ini tidak cocok buat saya bikin kulit saya lebih kering teksturnya lotion terlalu encer atau tidak seperti lotion lainnya ,0,-1
10,dengan harga yang terjangkau rasanya beli ini kemasannya menarik dengan warna yang cerah saat dibuka baunya enak banget terasa manis juga wangi banget bikin rileks banget dan setelah dibilas kulitnya baru terasa lembut dan bersih padahal tidak rutin memakainya tapi setiap pemakaiannya serasa spa sendiri hehehe pokoknya seperti lulur sariayu ini hehe,1,0
11,saya menyukai scrub ini dari masa lalu saya sangat menyukai perasaan lembut instan di kulit saya setelah menggunakan ini karena butiran ini cukup keras jadi gunakan saja usapkan dengan lembut pada kulit wajah jangan terlalu bersemangat untuk menggosoknya ,1,0
12,lulur ini sedang booming akhir akhir ini akhirnya saya beli di salah satu toko karena lulur ini belum ada di indonesia pas datangnya lulur ini langsung dipakai mandi malam bau kopi suka banget dan lulur ini mengering beda dengan lulur yang sudah berubah menjadi krim ada lulur ketika saya biarkan beberapa menit dan langsung saya katakan kulit terasa lembut dan t ak lebih bersih aromanya tetap awet walaupun saya pakai sabun bilas saya suka pake scrub ini juga di wajah alhasil jerawat cepat hilang dan jadi halus ,0,0
13,hal yang saya suka dari scrub ini adalah harganya yang sangat terjangkau biasanya untuk pemakaian penuh satu badan saya bisa menghabiskan setengah isinya jadi hanya bisa digunakan dua kali aromanya sangat menenangkan dan cukup uh untuk membersihkan sel kulit mati di tubuh karena butiran scrub yang cukup kasar cocok untuk perawatan mingguan pemakaian teratur akan menghasilkan kulit halus dan putih,0,0
14,lulur favorit saya selama ini saya mengira body scrubnya tidak berfungsi dan tidak berhasil haha saat saya pakai frank baru terasa efeknya wangi banget wangi kopinya betul betul betah di kamar mandi lama banget kamar mandinya berantakan banget tapi hei begitu terus terang ucapnya kan kotor dengan saya sayang untuk stretch mark efeknya memakan waktu agak lama menurut saya tidak hilang sama sekali tapi cukup disamarkan kok jadi lebih lembut saya sangat merekomendasikan ini untuk ibu baru yang sedang hamil atau yang stretch marknya masih terlalu dalam untuk menggunakan ini untuk menghilangkan dan mencegah stretch mark menjadi terlalu dalam saya sangat suka sensasi setelah berkumur kulit super terhidrasi serasa pakai body oil untuk wajah saya jarang sekali pakai karena scrubnya lumayan besar dan kasar tapi tidak mengiritasi wajah selama digosok perlahan pasti akan membeli kembali karena paket di saya hanya butuh waktu lama tidak memakan banyak tidak bekerja terlalu banyak itu bisa membuatnya sepadan juga jika banyak yang menjadi bergelombang di lantai sayangnya itu dibuang,1,1
15,menurut saya toner ini mahal dibanding yang lain dan saya juga agak bingung dengan toner ini karena di botol pertama saya pakai muka saya baik baik saja tapi masuk botol kedua saya pakai langsung bertambah besar jerawat baru ,-1,-1
16,toner ini benar benar toner favorit saya toner ini bersifat dingin menenangkan jerawat membuat jerawat kering saya telah menghabiskan lusinan botol untuk benar benar menyukai toner viva ini ,1,1
17,koleksi hy id pertama yang langsung saya suka bentuknya mudah dibawa bawa dan ada aplikatornya sehingga membantu pengosongan warnanya bagus di bibir setelah diolesi langsung mantap masih ada sedikit noda tersisa setelah makan atau minum harga terjangkau untuk kualitas bagus banget ,1,0
18,baru saja menguji produk ini untuk ukuran s el sejauh ini membuat kulit bersinar saat anda bangun gen yang baik benar benar efektif ketika kulit terasa tidak sehat setiap pemakaian produk ini kaya akan exfloating pada kulit tetapi halus dan gen yang baik saya hanya menggunakan hari dalam sebulan diselingi dengan skin care yang biasa saya gunakan ,0,0
19,saya sangat suka fte sejak pemakaian pertama lggg cocok dan kulit wajah lebih segar lebih sehat warna kulit lebih merata tidak ada komedo tidak membuat berminyak lembab dan kenyal fte serum ini bahkan sesekali menggantikan krim malam dan krim siang saya jika sudah habis jerawatnya memudar dan perlahan menghilang toko sangat puas dengan hasilnya dan sudah tahun s ai sekarang saya masih setia dengan fte ini kemasannya oke juga tidak masalaho sama sekali yang bikin saya kasihan karena harganya yang relatif murah tapi worth it banget dengan kualitas repurchase nya pasti ya,1,1
20,terbaik yuuup lipstik ini matte namun terasa creamy sangat nyaman digunakan warna natural yang lembut dan indah sangat recommended untuk digunakan sehari hari meskipun anda harus menabung terlebih dahulu untuk mendapatkan holly grail ini mahal tetapi sepadan ,1,1
21,entahlah mungkin karena selama ini saya selalu menggunakan tabir surya jepang saya tidak merasa tabir surya ini ringan bingung jadi kalau dibilang ringan teksturnya sendiri tidak terlalu encer cukup kental saat anda menggosokkannya di wajah anda itu sedikit lama tapi setelah itu hilang kemudian saya tidak tahu mengapa saya merasa agak panas di awal ketika saya menggunakan wajah ini tidak butuh waktu lama hanya sedikit tidak nyaman lebih ribet katanya tabir surya ini perlu di setting menggunakan loose powder bedak tabur agar tidak meluncur karena berminyak kering setelah diserap juga terasa agak lengket mahal,0,0
22,lulur terbaik sepanjang masa beraroma ringan dan sangat efektif untuk mengangkat sel kulit mati di seluruh tubuh hasil kulit jadi halus lembut lebih baik pakai kali seminggu setelah menggunakan ini sebaiknya juga menggunakan body butter agar kulit sehat anda tetap bersinar ,1,1
23,serum ini sebenarnya untuk kulit berusia di atas an tapi atas bujukan ba nya pada akhirnya dibeli kulit saya berminyak dehidrasi jadi carilah serum untuk melembabkan tapi jangan membuatnya jadi berminyak plus untuk pencegahan biar tidak keriput dini hehe secara keseluruhan serum bekerja untuk saya setelah minggu pemakaian kulit lebih cerah kenyal dan terasa halus juga wangi segar pompa cukup untuk wajah jadi sepertinya serumnya tahan lama kekurangannya kemasannya kaca jadi berat dan ngeri pecah ,1,0
24,ulasan kedua marc jacobs lip gel teduh voila warnanya merah magenta dan di bibirku persis warnanya keluar seperti itu berpigmen setelah diolesi warnanya bagus mudah diaplikasikan karena lembut dan berpigmen cenderung bersinar meski awalnya terlihat semi matte cukup tahan lama tahan x makan kemasan bagus simple cantik dan memiliki magnet aku menyukainya ,1,1
25,saya adalah produk dari skii yang paling tidak saya sukai banyak yang mengatakan bahwa produk ini benar benar salah satu toner terbaik namun jika kulit anda cenderung kering dan sensitif sebaiknya hindari produk ini dan coba toner lain ketika saya pertama kali mulai menggunakan skii saya membeli satu set pitera yang berisi fte clear lotion dan mask jadi saya juga mencoba lotion bening ini namun setelah digunakan kurang lebih minggu kulit terasa kusam tapi saya pikir mungkin produknya belum berfungsi jadi saya melanjutkan dan yang berkulit merah dan seperti hangus dan akhirnya saya memutuskan untuk menghentikan cl jadi untuk kulit kering dan sensitif coba produk toner lain d,-1,-1
26,niat untuk membeli ini karena reviewnya bagus di forum fd cuma bolak balik mau beli karena beberapa orang malah kena jerawat beli ukuran penuh secara langsung hasilnya benar benar membuat saya kagum awalnya saya merasa panas dan wajah saya memerah tapi saya terus menggunakannya sekali sehari sebelum tidur hasilnya setelah pemakaian seminggu wajah menjadi berseri dan bintik hitam sangat tidak menyukai produk ini tapi saya tidak suka kemasannya saat dibawa travelling suka bocor padahal kipas besar sudah ditutup solusinya saya suka pindah ke botol lain yang lebih rapat,1,1
27,ukuran tekstur cair ml mudah diaplikasikan tidak lengket dan tidak menyebabkan oksidasi setelah itu pemakaian make up akan tetap bagus tapi sepertinya tidak memberi nilai lebih dari tabir surya yang harganya juga sangat mahal kalau tidak salah produk ini sudah tidak diproduksi lagi atau diganti kemasannya ,0,0
28,serum ini benar benar memiliki efek luar biasa pada kulit saya dan sangat cepat terserap biasanya menggunakan serum lain baunya agak aneh dan menunggu lama untuk meresap ke dalam kulit royal jelly ini langsung berasa dan berbau seperti madu efeknya pada kulit saya bersinar dan pori pori mengecil saya suka itu,1,1
29,saya belum pernah mencoba scrub wajah sebelumnya dan ini adalah pertama kalinya saya mencobanya dan bingo yang sangat bagus hahahaha bus cuci muka gw baru gosok dengan ini dan setelah dibasuh mukanya mulus banget untusan eilang langsung terus gunakan toner dan hal lainnya ini khusus untuk wajah berjerawat dan jenis kombinasi berminyak harus dicoba nbsp ,0,1
30,jujur saya suka pakai toner yang satu ini secepatnya ada sensasi mint padahal tidak mengandung mint ya tapi jatuhnya kalau saya pakai setelah saya bersihkan muka pakai ini maka pelembabnya jadi jerawatan menangis karena saya membelinya dan sayang jika tidak saya gunakan maka saya menggunakan toner ini sebagai gantinya untuk membersihkan make up saya sebelum saya menggunakan facial wash jadi ya saya juga tidak berpikir hasilnya,-1,-1
31,saya membeli ini karena saat itu saya sedang bosan menggunakan esensi kunci rahasia dan saya ingin mengubah yang lain tepat ketika wajah saya tidak pecah lagi tetap dengarkan reviewnya semua betonnya bagus jadi akhirnya beli langsung di seller korea dan tiba minggu beberapa hari pemakaiannya saja tidak terasa puas tidak seperti yang diklaim dan sudah di review oleh orang oke saya sadari kulit setiap orang berbeda dan reaksinya juga berbeda saya pakai konkrit sekali pakai ini tapi ternyata wajah saya muncul dengan jerawat kecil entah itu purging atau tidak cocok pada akhirnya alih alih menambahkan lebih banyak saya juga berhenti ,-1,-1
32,murah hehhe dibanding exfoliating lainnya aha soalnya udah tau harus double toner makanya saya gencar gencarnya mencoba semua jenis toner sm exfoliating yang menghidrasi jadi pembalut glikolatnya cukup banyak kandungannya cukup dipakai sekali di pagi hari bisa dipakai selama bulan ya meskipun ada alkohol tidak terasa sakit dibandingkan dengan menggunakan pc bha liquid kulit saya terasa lebih bercahaya hanya digunakan selama minggu semoga tetap pake gigit hebat ini hehe,0,1
33,membuat wajah saya berembun tapi saya suka tapi terkadang kalau sedang terburu buru tabir surya ini akan meresap dalam waktu yang lama akibatnya terkadang terc ur dengan bedak plus nilainya bisa dipakai muka dan badan harga murah tekstur ringan saya sedikit membersihkan saat mulai menggunakan ini tetapi saya masih tidak tahu tentang ini atau faktor lainnya ,0,0
34,pertama mendapat ukuran s el dari konter sayangnya untuk kulit sensitif saya perawatan kulit menjadi hit atau miss dan yang ini ketinggalan setiap kali jerawat muncul tidak membutuhkan ukuran yang besar dan ada benjolan di pipi dan dagu entahlah mungkin baru dibersihkan dulu tapi lama lama saya juga tidak tahan ditambah baunya agak funky jangan berani beli full size,-1,-1
35,lihat dulu body scrub ini shocked geezier kpn g ang sekali mendapatkannya g ang didapat kemasannya besar jd tahan lama wangi banget lembut moral yang manis lulurnya lembut bikin kering di kulit tapi efektif mengangkat sel kulit mati kulit jadi halus lembut bagus untuk ukuran produk lokal tp worthed bagus banget enak sayangnya tidak ada parfum edt atau edp saya pasti akan membeli jrn baunya enak hanya memiliki kabut tubuh tetapi kabut tubuh dengan cepat menghilang,0,0
36,saya biasanya menggunakan sunblock ini di wajah saya sebelum makeup sangat melembabkan menjadikan kulit wajah lebih kenyal dan riasan lebih bercahaya gunakan sedikit saja untuk bagian wajah dan leher tapi sayangnya saya kurang suka aromanya tapi secara keseluruhan produk ini oke banget ,0,1
37,saya coba beli s le tahun lalu saya pakai bersamaan dengan fte dan ternyata tidak berhasil sama sekali masih berminyak malah wajah saya kusam banget akhirnya menyerah seminggu yang lalu saya lihat sudah h ir expire saya baru pakai eh oli berkurang btw saya sudah berhenti menggunakan fte saya ingin tinggalkan dulu kalau bagus mungkin saya akan membelinya lagi ,-1,-1
38,lulur ini saya pakai karena saya punya ibu menurut saya harganya murah dan isinya sangat mahal selama dua bulan dan saya tidak menggunakan semuanya sendiri menurut saya baunya enak seperti susu tapi baunya sangat menyengat lulurnya cukup enak di pakai di badan untuk efek pemutihnya sepertinya tidak terlihat sama sekali pada tubuh,0,0
39,awalnya saya takut mencoba produk asam karena harus dibarengi dengan penggunaan tabir surya tapi saya terpaksa mencoba bha ini setelah saya dapat s elnya ternyata jerawat membandel yang sudah bertahan di wajah selama lebih dari seminggu langsung rata ditambah pemakaian obat jerawat setelah dua atau tiga hari wajah terasa sangat mulus seperti sehabis facial jangan berpikir ada komedo sekarang sudah h ir sebulan pemakaian dan jerawat jarang muncul bahkan sebelum haid keren ,0,1
40,produk scrub favorit saya dulu saya beli ini untuk iseng pas dicoba enak banget lulurnya pas pas dipakai bagaimana tapi hasilnya gak susah nanya kok alus baunya wangi saya sangat suka jika saya menggosok h ir kali seminggu dan saya sangat suka menghabiskan waktu lama di kamar mandi dan pas orang keluar rumah baunya enak banget dan alus hehe sekarang udah setelah mau beli lagi mahal tapi suka jadi membeli kembali iya ,1,1
41,kemasan datang dalam tabung perak dengan pemerah pipi kata kata cinta dan bunga simbolik lancome saya katakan elegan dan sederhana kesempurnaan lipstik hasil akhirnya glossy dan agak tipis dibutuhkan sekitar lapis untuk membuat warnanya menonjol dan ini tidak mengeringkan bibir meski hasil akhirnya glossy tapi tidak menempel di bibir ,0,0
42,pertama kali saya menyentuh scrub scrubnya terlalu besar jadi saya sedikit takut ingin mengoleskannya ke wajah saya tetapi ketika saya memijat wajah saya scrubnya tidak kasar ternyata setelah membacanya benarkah lulur kulit kenari tersebut hasilnya setelah di scrub kulit jadi halus tanpa terasa kram atau perih padahal lulurnya besar banget bahkan suamiku melakukan scrubbing ini juga katanya kulitnya terasa lebih bersih pakai ini ,0,0
43,shade ferguson crest packaging sangat tidak suka bentuk yang sama karena lipstik tidak masuk s ai dale jadi masih nongol jika anda tidak hati hati membuka dan menutupnya akan sangat mudah berubah menjadi tanda terima tekstur benar benar lembut dan berpigmen penerapan karena bentuknya bullet jadi harus pakai kuas supaya rapi warna buat yang suka t ilan v y warnanya pas banget kan hari sudah gelap tapi tidak s ai dan si montok masih terlihat saya rasa ini cocok untuk musim gugur musim dingin ,0,0
44,nivea ini bagus agar produk cepat meresap ke dalam kulit tapi karena terlalu encer jadi tidak melembabkan maka baunya sebenarnya enak bagi yang sedang mencari lotion yang melembabkan kulit nivea uv whitening tidak disarankan,0,0
45,saya sangat suka menggosok wajah saya setiap akhir pekan menggunakan scrub ini rasanya enak dan terasa r ing butiran scrub tidak kasar berbau sedikit dan setelah dibilas wajah lebih lembab sejauh ini meski sedikit mahal tapi patut dicoba ,0,0
46,sayangnya ini adalah meh produk untuk saya produk pertama yang saya gunakan saat pertama kali mengalami jerawatan saya mengambil semua seri dari acnes tapi menurut saya warna uv ini yang paling mengecewakan kelebihan kerugian murah tersumbat tidak efektif tekstur tidak mulus berminyak oxy cakupan tidak rata,0,0
47,ini adalah lulur mandi favorit ibu yang saya coba dan saya juga suka lulur ini butiran scrub sudah pas tidak terlalu kasar dan tidak terlalu lembut baunya juga enak untuk efek whitening menurut saya tidak ada efeknya saya biasanya menggunakan scrub ini sebagai pengganti sabun ada buih bahkan sedikit membuat kulit lembab juga secara keseluruhan saya pikir nilainya beli lagi iya ,1,1
48,banyak review yang mengatakan produk ini cocok untuk kulit berminyak setelah dicoba digunakan hingga ml habis produk ini tidak akan berpengaruh apapun pada wajah kecuali wajah menjadi lebih bersih pori pori juga tidak menyusut sama sekali,-1,-1
49,saya menggunakan toner ini setelah mencuci muka sebelum mengaplikasikan serum atau pelembab awalnya saya beli ini karena katanya palsu eh bisa mengecilkan pori pori dan mengecilkan minyak di wajah efek mendinginkan setelah mengaplikasikan toner murah karena isinya terlalu banyak sehingga tahan lama kalau oli berkurang mungkin mungkin karena setelah mengaplikasikan toner ini wajah terasa lembab segar tidak menggores pori pori seperti yang saya bilang di counter ,1,1
50,jangan pernah menggunakan ini untuk menghilangkan kotoran riasan yang tersisa kenakan setelah mencuci muka itu tidak membuat eakout juga tidak berubah menjadi merah atau terbakar biasa saja rasanya tidak menarik juga lembab di kue baunya enak khas nivea ,1,1
51,saya telah memakai skii selama tahun hasilnya bisa dilihat dalam bulan kulit wajah kita akan sehat bersih dan segar harganya lumayan menguras dompet tapi hasil kulit sehat sudah terbukti hasil instan terkadang lebih mencurigakan karena sekarang ini banyak sekali skin care atau obat obatan dokter gaul seperti biasa efek kulit mengelupas merah dan merah hanya untuk kulit putih saja padahal kita tidak pernah tahu lapisan kulit wajah kita sebenarnya sangat tipis jadi ketika kita menggunakan skii ini kulit kita tidak akan mengelupas atau memerah hasilnya terlihat sehat tidak benar benar putih mungkin lebih spesifik lagi cerah segar dan kenyal ,1,1
52,saya sudah mencoba s le produknya menurut saya baunya tidak mengganggu saya pakai sachet waktu itu dan hasilnya biasa saja mungkin karena baru dipakai sebentar tapi yang jelas kulit saya terasa kenyal setelah pakai produk ini ,1,1
53,nama gel memang benar karena gel tabir surya ini memiliki tekstur yang sangat ringan cepat meresap dan memiliki sensasi dingin meski kurang penting d bagi yang sedang mencari tabir surya untuk wajah dengan kandungan spf yang tinggi bisa mencoba wardah sunscreen gel karena harganya terjangkau dan pasti kegunaannya d menurut saya gel ini juga tidak meninggalkan residu putih yang biasa terjadi pada tabir surya lain produk hanya saja saya mungkin tidak akan membeli lagi karena saya lebih suka wardah acne moisturizer gel karena selain spf juga ada embel embel acne yang lebih cocok untuk kulit saya yang rawan berjerawat ,-1,0
54,ini adalah toner terbaik yang pernah saya coba awalnya saya mencoba toner ini saat merekomendasikannya dengan myer awalnya saya tidak tertarik tapi setelah menunjukkannya saya sangat tertarik saat saya pakai di wajah saya terasa segar dan bersih setelah menggunakan toner ini saya menggunakan essence yang sangat meresap ke pori pori saya ,1,1
55,lagi di perjalanan ke paris tiba tiba temen saya titip ini eh dulu saya pake hehehehe diminta banyak lotion untuk jenis kulit kering dan sensitif kemudian langsung dikasih varian p w tekstur lotion ini berbentuk cair seperti air biasa sedikit berbau menyebalkan karena berbau cuka bagi pemula yang menggunakan ini terlebih dahulu maka kapas harus dibasahi dengan air mineral terlebih dahulu karena jika kurang enak banget pada awal pemakaian akan ada sensasi seperti terbakar dan gatal dan pada minggu pertama pemakaian lotion ini ada cukup setiap dua hari untuk selanjutnya dapat digunakan seperti biasa bahkan sekarang saya menggunakan kapas tanpa membasahi air terlebih dahulu dan telah menggunakannya setiap malam saya pribadi belum merasakan perbedaan yang signifikan setelah menggunakan produk ini namun ibu saya mengatakan kulit saya lebih cerah setelah menggunakan ini pada ibu saya perbedaannya sangat signifikan garis halus berkurang terutama di dahi dan flek di pipi sudah pudar wajah ibu saya juga terlihat segar dan cerah saya sudah menggunakan lotion ini selama kurang lebih bulan walaupun harganya mahal tapi jika ada uang saya akan membelinya kembali ,1,1
56,saya minum botol kedua sangat senang dengan kemasannya karena agak vintage praktis juga karena cukup disemprot saja saya suka kemasan kacanya karena terasa melindungi keutuhan bahan bagi yang masih takut dengan minyak produk ini sangat cocok untuk dicoba karena kombinasi minyak dan air di dalamnya tidak berminyak seperti minyak tetapi anda mendapatkan manfaatnya ada juga berbagai macam jenis minyak ada minyak rosehip minyak biji bunga matahari dan lainnya ,1,0
